Densidad de estados ,Tiempo de ejecución, 1.52301400562e9 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
  E_i, E_f, S, DOS 
-1.5857142857, -1.580952381, 15676.6788787842, 1.973020625250410017924034144547527512337416792278857919092925639055517635914506e+6808 
-1.580952381, -1.5761904762, 15678.4682769775, 1.18102036513713420761848555355811289198365739666198933058976539892565342413742e+6809 
-1.5761904762, -1.5714285714, 15680.3200683594, 7.524543639959922554106043159258625362679218858527245428390330181327674954437113e+6809 
-1.5714285714, -1.5666666667, 15682.1585998535, 4.730905226714588128388551813913740817529824555322655489623908364205875036657552e+6810 
-1.5666666667, -1.5619047619, 15683.9834442139, 2.934026851310381260750983645438283747830360847625575430025836197637287148716654e+6811 
-1.5619047619, -1.5571428571, 15685.7895355225, 1.78582777469009549685373917967467504977015187388138016868627046706855790232999e+6812 
-1.5571428571, -1.5523809524, 15687.6501312256, 1.147852329940206012135504583263205630385067045598079305726788570896184637932469e+6813 
-1.5523809524, -1.5476190476, 15689.4655761719, 7.052185744591767246836608110681152658263484508178600237322813690383783512860882e+6813 
-1.5476190476, -1.5428571429, 15691.2634735107, 4.257362551889608938799512694084107680385442633874641513794375328644863541488683e+6814 
-1.5428571429, -1.5380952381, 15693.0615539551, 2.570615079144553022121327308616388000020396208717178977882672436052993354208055e+6815 
-1.5380952381, -1.5333333333, 15694.8545227051, 1.544235332923215535374605817663899031262409208254948928033355023952920703495522e+6816 
-1.5333333333, -1.5285714286, 15698.6353302002, 6.77169388218350566096638155975693026364751436856957505780865787744374110270384e+6817 
-1.5285714286, -1.5238095238, 15700.3060455322, 3.599811556933689125205194231246298951043883086805707508342184990783927033722738e+6818 
-1.5238095238, -1.519047619, 15702.106628418, 2.179028840649704209668287150131515062208412955682489070073210515134287587250009e+6819 
-1.519047619, -1.5142857143, 15703.8837738037, 1.288449534564140909098138087960872321775071410596593351070327961818387265007873e+6820 
-1.5142857143, -1.5095238095, 15705.6839294434, 7.795878713601621715087256071965527448400055502715066700196200291654915905253567e+6820 
-1.5095238095, -1.5047619048, 15707.4811401367, 4.703095101980179093252878354546977549412567993914185893243113320596982805926513e+6821 
-1.5047619048, -1.5, 15709.2926483154, 2.878139015234751052590403100883580506266124641644527690935487203373705352533528e+6822 
-1.5, -1.4952380952, 15711.0905456543, 1.737515389922284140597678237991220327122998035042984218025931848277755270078476e+6823 
-1.4952380952, -1.4904761905, 15712.89793396, 1.058930428116225573275919507625401786075309218638415524778827904808299428443265e+6824 
-1.4904761905, -1.4857142857, 15714.6635894775, 6.189874959775569376673945866258521563423830663402427059815080334873299236756254e+6824 
-1.4857142857, -1.480952381, 15716.486114502, 3.829961755519397182980386386546899121966853891220273161361045824937369075620538e+6825 
-1.480952381, -1.4761904762, 15718.2422332764, 2.217517881642824838586665419165897941466662088065720779731981479935962207332631e+6826 
-1.4761904762, -1.4714285714, 15720.0840911865, 1.398865171530176727814835783696061957071022823852434062520617220571318777405208e+6827 
-1.4714285714, -1.4666666667, 15721.8298187256, 8.015593686537211877854859020586677137097650216229347366647459798647339568030221e+6827 
-1.4666666667, -1.4619047619, 15725.4992675781, 3.144539705097923611888049174232832578255806134703190457909436150665998455292624e+6829 
-1.4619047619, -1.4571428571, 15727.0845794678, 1.534791158162444743633514138802197835319903954086847698336151088910163465303053e+6830 
-1.4571428571, -1.4523809524, 15728.8754425049, 9.200495631262018727511515156730584959350542569398832803838606267641662750017016e+6830 
-1.4523809524, -1.4476190476, 15730.6449890137, 5.399027103787384246288696698411713648449646752985074851226049609352448298388128e+6831 
-1.4476190476, -1.4428571429, 15732.3728790283, 3.03898534915469455590035998604035427670933546760971216675101204656158524812298e+6832 
-1.4428571429, -1.4380952381, 15734.1078491211, 1.722727331394722165595540448219158560349216107590318084259669195726179114249666e+6833 
-1.4380952381, -1.4333333333, 15735.9044952393, 1.038699778486670509861166759601081631527497905965125882723082327205218071001015e+6834 
-1.4333333333, -1.4285714286, 15737.6807861328, 6.136537214525194687672675183035643467216676238206281101788486124209173420747737e+6834 
-1.4285714286, -1.4238095238, 15739.4608001709, 3.638929542247596627724117754432623293347355477732771101271321545918475270915552e+6835 
-1.4238095238, -1.419047619, 15741.2620391846, 2.204153372907687577612183607653168091771961792602717055668822778689245205059826e+6836 
-1.419047619, -1.4142857143, 15743.0098876953, 1.265676668545726800188110075137575689770054613651095815245184738222230872391354e+6837 
-1.4142857143, -1.4095238095, 15744.7509002686, 7.218300001394316403693084331145278812544755996930818893697362624452113158366561e+6837 
-1.4095238095, -1.4047619048, 15746.4774932861, 4.057744968444411524551486366293851689758975905084008276369496869133367840095521e+6838 
-1.4047619048, -1.4, 15748.2928466797, 2.492772870325961658568376645731336536166045698784764799995468792857108998598784e+6839 
-1.4, -1.3952380952, 15751.9450836182, 9.612338550730581440104843907525134004616518101602213431050012057648111802197238e+6840 
-1.3952380952, -1.3904761905, 15753.5095672607, 4.594895844597747919757881084575908339303071463194144665108516161770772704924755e+6841 
-1.3904761905, -1.3857142857, 15755.2511901855, 2.622122017340263385688089880628089562322448306218242968979454384486217537277688e+6842 
-1.3857142857, -1.380952381, 15756.9730834961, 1.467106564819373465817436400455227116419020247961737114524942108599918590572012e+6843 
-1.380952381, -1.3761904762, 15758.7200317383, 8.416889820637232168088667319953676004049626494937938636996621987653130023013175e+6843 
-1.3761904762, -1.3714285714, 15760.4967803955, 4.974893405007537526801570974523952111294171147889727230384904140907641654008894e+6844 
-1.3714285714, -1.3666666667, 15762.2320556641, 2.821007582401561740695710703331069917766398496562069107963113921463988312858743e+6845 
-1.3666666667, -1.3619047619, 15763.9694366455, 1.603021054960371990934115001383155484207021515751590988221714041981428174798365e+6846 
-1.3619047619, -1.3571428571, 15765.7258758545, 9.28434099691040221388581176472165224274359713171533264216748232579279277415926e+6846 
-1.3571428571, -1.3523809524, 15767.4451446533, 5.18107686193227115492262685517466169700555585564629199029620176354743596168408e+6847 
-1.3523809524, -1.3476190476, 15769.1710968018, 2.910660346321581386573760278425105953210361658693485473397879349240911587737498e+6848 
-1.3476190476, -1.3428571429, 15770.9037475586, 1.646160558876811887135005828394652646707782458047022934318823750378873569712116e+6849 
-1.3428571429, -1.3380952381, 15772.6555938721, 9.490506241027121036295737919666572235632588542272945452529032676910537968685347e+6849 
-1.3380952381, -1.3333333333, 15774.3756866455, 5.300491946196301187614316822084997052103530715180318680473890572291916206412069e+6850 
-1.3333333333, -1.3285714286, 15777.9788360596, 1.946005605722959144403345294628904507807132919930445161921316578256747592060034e+6852 
-1.3285714286, -1.3238095238, 15779.5433197022, 9.302307679867669172610397706984247325319983618762236897972620320974385475284874e+6852 
-1.3238095238, -1.319047619, 15781.2284088135, 5.016670794273146130817062780350759532395672277242215498743518974919317285805432e+6853 
-1.319047619, -1.3142857143, 15782.9395141602, 2.776765549692747657073396534903713168148224620365425175737811077582298524746554e+6854 
-1.3142857143, -1.3095238095, 15784.6585083008, 1.549133630529960325487597852928481801096175846024369039863028110262437176783944e+6855 
-1.3095238095, -1.3047619048, 15786.3943939209, 8.789707605689133211599496777876626547488305807894450948676230331952648144587894e+6855 
-1.3047619048, -1.3, 15788.108001709, 4.877360253376253544021340491763438964653840719265455428150695342939919881401634e+6856 
-1.3, -1.2952380952, 15789.8145446777, 2.687367305476949462614090034777092086988136992850782847615393587519724005686886e+6857 
-1.2952380952, -1.2904761905, 15791.5459289551, 1.517950700655675079363843311647042281006254878296208931813040813880758437073266e+6858 
-1.2904761905, -1.2857142857, 15793.2676391602, 8.491548774228463887853075635471828565398622881170580968069255146923466098412173e+6858 
-1.2857142857, -1.280952381, 15794.9769744873, 4.691825040218003339008761094339130593954771641367301422478627278128620159225906e+6859 
-1.280952381, -1.2761904762, 15796.6736602783, 2.559782615708123200427078027152540904686011294290676831162356715482649068695036e+6860 
-1.2761904762, -1.2714285714, 15798.389541626, 1.42364230888020230720079918062198128546800240504827556163713054413699325330011e+6861 
-1.2714285714, -1.2666666667, 15800.0941772461, 7.829152087834715996225966555563164964739078761565551431624250368308144465367032e+6861 
-1.2666666667, -1.2619047619, 15803.6979522705, 2.876168574508089903165815963831796812444480074518074617774758843691380107559914e+6863 
-1.2619047619, -1.2571428571, 15805.2627410889, 1.37528746919244115323202852102141607583218330821831148019317675700566255740336e+6864 
-1.2571428571, -1.2523809524, 15806.9286956787, 7.276262718653382000688376382763547002881775309155227751970402309828252064208384e+6864 
-1.2523809524, -1.2476190476, 15808.6234741211, 3.962244735144745324483045883781672064901652733821096696478228633092278866413256e+6865 
-1.2476190476, -1.2428571429, 15810.3030853271, 2.125138188154189781281201358799213260551417591144593727851745627565058284667715e+6866 
-1.2428571429, -1.2380952381, 15812.0006256104, 1.160431617877221460188032461917535500891486729871936899938262321296236832159634e+6867 
-1.2380952381, -1.2333333333, 15813.7109222412, 6.417885172742572559360315408588522118144281825552688333226921389662165918206127e+6867 
-1.2333333333, -1.2285714286, 15815.4171905518, 3.535207048699125329055801396131007206884440904321425414951644791728634301089808e+6868 
-1.2285714286, -1.2238095238, 15817.1090393066, 1.919443941901879804463864150393521678725955783169035647715825507279925123962939e+6869 
-1.2238095238, -1.219047619, 15818.7706451416, 1.011117618966022729989537851139866475001971432050543457620911625213166572787767e+6870 
-1.219047619, -1.2142857143, 15820.4565734863, 5.457466205982276382428761207326374368282407174608990673805324976482825692746671e+6870 
-1.2142857143, -1.2095238095, 15822.1383514404, 2.933444935579771860239454474612932396795916267613380812746863980665931353001281e+6871 
-1.2095238095, -1.2047619048, 15823.8098449707, 1.560624272071055798643236008683770784785962217082553892660447748475910919996053e+6872 
-1.2047619048, -1.2, 15825.5018615723, 8.474846298384696682420925363016009838085195409240417453104063365198664622988588e+6872 
-1.2, -1.1952380952, 15828.9412384033, 2.641400218186793342325057613329915124480505617830545884469699989726670095228308e+6874 
